id,label,r,g,b
11,attic,0.13764151507276523,0.393631373171362,0.1895671384110692
18,bar,0.16792136840797367,0.9717248564255272,0.5321857461726525
24,bedroom,0.6620342645606977,0.3680045149263793,0.734581006433986
44,classroom,0.4123907030889,0.5438173779067023,0.5667844442093908
54,corridor,0.9324231730066995,0.2676842767500175,0.1840913776991977
64,dining_room,0.6222876281446806,0.6006636491081981,0.03416257805230005
70,dinette_home,0.8193249679762404,0.8744055830290256,0.3688251923630723
93,home_office,0.5421757126143214,0.3982337744868425,0.26282456069712334
108,kitchen,0.2326590704835716,0.6071913667221214,0.10641577880687192
112,living_room,0.21433110551298895,0.1621850704987282,0.5408283657313289
113,lobby,0.24250332747478032,0.05145630987505245,0.42484837442072165
129,office,0.5194026825525275,0.7630919821645651,0.8528215092731605
134,pantry,0.5280077979289772,0.4623873909040396,0.3922254544805931
135,parking_lot,0.27415258170001855,0.5678698874363374,0.7218636621631975
136,parlor,0.6514492968086911,0.6991450134992039,0.5642696452038756
138,patio,0.5440264578584352,0.5802925535066017,0.9318129492204256
139,pavilion,0.8140075465779999,0.8884455963266571,0.5181669985765696
167,shower,0.46667545034336877,0.36211681923863503,0.4291421464530041
174,staircase,0.5051487845105879,0.8840644641397265,0.2968726477145023
195,veranda,0.9523417777715022,0.9023674614833772,0.62872160442993
198,waiting_room,0.21865458255142511,0.001788045777914471,0.6687776213550237
